legacy_id;parent_id;name;status;created_at;updated_at
;2589;Evénement MyAudi;1;2018-06-28 23:27:34.110;2018-06-29 00:00:00
;2589;Evénement Partenaire;1;2018-06-28 23:27:34.110;2018-06-29 00:00:00
6258;2590;MD_fidelisation_M+3;1;2015-09-04 11:05:28.840;2018-06-29 00:00:00
6259;2590;MD_fidelisation_M+12;1;2015-09-04 11:05:28.847;2018-06-29 00:00:00
6260;2590;MD_fidelisation_M+13;1;2015-09-04 11:05:28.850;2018-06-29 00:00:00
6261;2590;MD_fidelisation_M+20;1;2015-09-04 11:05:28.853;2018-06-29 00:00:00
6262;2590;MD_fidelisation_M+30;1;2015-09-04 11:05:28.857;2018-06-29 00:00:00
